last_name,state,party,votes,votes_for,votes_against,vote_percentage,gdp
Abraham,LA,R,222,208,14,0.9369369369369369,53589
Adams,NC,D,236,31,204,0.13559322033898302,54441
Aderholt,AL,R,244,238,6,0.9754098360655737,45219
Aguilar,CA,D,242,52,190,0.21487603305785125,74205
Allen,GA,R,244,236,7,0.9672131147540984,55832
Allred,TX,D,52,0,52,0.0,61167
Amash,MI,R,240,148,92,0.6166666666666667,53209
Amodei,NV,R,240,236,4,0.9833333333333333,55269
Armstrong,ND,R,54,50,3,0.925925925925926,72597
Arrington,TX,R,244,236,7,0.9672131147540984,61167
Axne,IA,D,54,0,54,0.0,59977
Babin,TX,R,240,228,11,0.95,61167
Bacon,NE,R,246,236,9,0.959349593495935,63942
Baird,IN,R,54,51,2,0.9629629629629628,55172
Balderson,OH,R,66,64,2,0.9696969696969697,57492
Banks,IN,R,246,234,11,0.9512195121951219,55172
Barletta,PA,R,184,180,4,0.9782608695652174,61594
Barr,KY,R,246,238,8,0.967479674796748,46898
Barragán,CA,D,242,32,210,0.1322314049586777,74205
Barton,TX,R,184,169,14,0.9239130434782608,61167
Bass,CA,D,224,22,202,0.09821428571428571,74205
Beatty,OH,D,238,36,202,0.15126050420168066,57492
Becerra,CA,D,2,0,2,0.0,74205
Bera,CA,D,246,74,172,0.3008130081300813,74205
Bergman,MI,R,242,232,9,0.9586776859504132,53209
Beyer,VA,D,236,36,200,0.15254237288135594,62563
Biggs,AZ,R,246,190,56,0.7723577235772358,48055
Bilirakis,FL,R,244,236,7,0.9672131147540984,48318
Bishop,GA,D,240,84,156,0.35,55832
Bishop,MI,R,190,186,3,0.9789473684210528,53209
Bishop,UT,R,236,226,10,0.9576271186440678,55550
Black,TN,R,156,146,9,0.9358974358974361,53933
Blackburn,TN,R,87,80,6,0.9195402298850577,53933
Blum,IA,R,186,171,14,0.9247311827956988,59977
Blumenauer,OR,D,234,32,202,0.13675213675213677,56956
Blunt Rochester,DE,D,238,50,188,0.21008403361344538,77253
Bonamici,OR,D,244,38,206,0.1557377049180328,56956
Bost,IL,R,244,238,5,0.9754098360655737,67268
Boyle,PA,D,242,38,204,0.15702479338842976,61594
Brady,PA,D,186,32,154,0.1720430107526882,61594
Brady,TX,R,246,244,1,0.991869918699187,61167
Brat,VA,R,190,168,22,0.8842105263157894,62563
Bridenstine,OK,R,104,98,5,0.9423076923076924,50613
Brindisi,NY,D,54,2,52,0.037037037037037035,85746
Brooks,AL,R,238,206,31,0.865546218487395,45219
Brooks,IN,R,244,240,4,0.9836065573770492,55172
Brown,MD,D,238,36,202,0.15126050420168066,68573
Brownley,CA,D,238,60,178,0.25210084033613445,74205
Buchanan,FL,R,234,222,11,0.9487179487179488,48318
Buck,CO,R,240,206,34,0.8583333333333333,63882
Bucshon,IN,R,238,234,4,0.9831932773109243,55172
Budd,NC,R,242,220,21,0.9090909090909091,54441
Burchett,TN,R,54,51,2,0.9629629629629628,53933
Burgess,TX,R,242,232,10,0.9586776859504132,61167
Bustos,IL,D,244,70,174,0.28688524590163933,67268
Butterfield,NC,D,242,40,202,0.1652892561983471,54441
Byrne,AL,R,244,236,7,0.9672131147540983,45219
Calvert,CA,R,246,240,5,0.975609756097561,74205
Capuano,MA,D,182,28,154,0.15384615384615385,82480
Carbajal,CA,D,238,68,170,0.2857142857142857,74205
Carson,IN,D,232,32,200,0.13793103448275862,55172
Carter,GA,R,234,226,7,0.9658119658119658,55832
Carter,TX,R,234,226,7,0.9658119658119658,61167
Cartwright,PA,D,236,58,178,0.2457627118644068,61594
Case,HI,D,54,0,54,0.0,64096
Casten,IL,D,54,0,54,0.0,67268
Castor,FL,D,242,42,200,0.17355371900826447,48318
Castro,TX,D,242,36,206,0.1487603305785124,61167
Chabot,OH,R,246,234,11,0.9512195121951219,57492
Chaffetz,UT,R,62,62,0,1.0,55550
Cheney,WY,R,246,236,9,0.959349593495935,69900
Chu,CA,D,242,27,214,0.11570247933884296,74205
Cicilline,RI,D,242,42,200,0.17355371900826447,57852
Cisneros,CA,D,54,0,54,0.0,74205
Clark,MA,D,232,30,202,0.12931034482758622,82480
Clarke,NY,D,244,20,224,0.08196721311475409,85746
Clay,MO,D,240,30,210,0.125,51699
Cleaver,MO,D,232,34,198,0.14655172413793102,51699
Cline,VA,R,54,51,2,0.9629629629629628,62563
Cloud,TX,R,76,68,8,0.8947368421052632,61167
Clyburn,SC,D,228,34,194,0.14912280701754385,45280
Coffman,CO,R,192,182,10,0.9479166666666666,63882
Cohen,TN,D,242,34,208,0.14049586776859505,53933
Cole,OK,R,242,238,4,0.9834710743801653,50613
Collins,GA,R,238,232,6,0.9747899159663865,55832
Collins,NY,R,242,240,1,0.9917355371900827,85746
Comer,KY,R,246,232,13,0.9430894308943091,46898
Comstock,VA,R,186,182,3,0.9784946236559141,62563
Conaway,TX,R,246,242,3,0.983739837398374,61167
Connolly,VA,D,244,50,194,0.20491803278688525,62563
Conyers,MI,D,106,14,92,0.1320754716981132,53209
Cook,CA,R,244,236,7,0.9672131147540983,74205
Cooper,TN,D,244,74,170,0.30327868852459017,53933
Correa,CA,D,246,72,174,0.2926829268292683,74205
Costa,CA,D,232,84,148,0.3620689655172414,74205
Costello,PA,R,184,176,8,0.9565217391304348,61594
Courtney,CT,D,242,50,192,0.2066115702479339,76342
Cox,CA,D,54,0,54,0.0,74205
Craig,MN,D,54,0,54,0.0,64675
Cramer,ND,R,91,90,1,0.989010989010989,72597
Crawford,AR,R,240,234,5,0.975,42454
Crenshaw,TX,R,54,50,3,0.925925925925926,61167
Crist,FL,D,240,78,162,0.325,48318
Crow,CO,D,54,0,54,0.0,63882
Crowley,NY,D,176,29,146,0.17045454545454544,85746
Cuellar,TX,D,246,132,114,0.5365853658536586,61167
Culberson,TX,R,190,186,3,0.9789473684210528,61167
Cummings,MD,D,186,22,164,0.11827956989247312,68573
Cunningham,SC,D,54,0,54,0.0,45280
Curbelo,FL,R,182,150,32,0.8241758241758241,48318
Curtis,UT,R,144,138,6,0.9583333333333334,55550
